task_id,mechanism_class,data_seed,strategy,observation_count,selected_proposal_id,validation_rmse,locked_rmse,stability_violations,gate_triggered,gate_reason,equivalent_candidate_count,normalized_prediction_ambiguity
XFER-CYCLIC-01,cyclic_damage,3799979468,evidence_guided_predictive_disagreement,0,portfolio_e5c76560a5eca862,0.0014892882857196305,0.0006593275823055211,0,False,equivalent_candidates_predict_similarly,4,0.4016244358752911
XFER-THERMAL-01,thermal_damage,3799979468,no_acquisition,0,portfolio_87ef16c1f3c18d4b,0.009095605859149192,0.004929047688548393,0,False,equivalent_candidates_predict_similarly,3,0.018559020986407028
XFER-THERMAL-01,thermal_damage,3799979468,conditional_space_filling,0,portfolio_87ef16c1f3c18d4b,0.009095605859149192,0.004929047688548393,0,False,equivalent_candidates_predict_similarly,3,0.018559020986407028
XFER-THERMAL-01,thermal_damage,3799979468,evidence_guided_predictive_disagreement,0,portfolio_87ef16c1f3c18d4b,0.009095605859149192,0.004929047688548393,0,False,equivalent_candidates_predict_similarly,3,0.018559020986407028
XFER-CREEP-01,creep,233033901,no_acquisition,0,portfolio_0836f312f112038f,0.0019347645733390339,0.0003688490247708006,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-CREEP-01,creep,233033901,conditional_space_filling,0,portfolio_0836f312f112038f,0.0019347645733390339,0.0003688490247708006,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-CREEP-01,creep,233033901,evidence_guided_predictive_disagreement,0,portfolio_0836f312f112038f,0.0019347645733390339,0.0003688490247708006,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-PERM-01,permeability,233033901,no_acquisition,0,portfolio_d2b632acfb9bb418,0.005578652404945591,0.0010508575707781074,0,False,equivalent_candidates_predict_similarly,5,0.36706915649515076
XFER-PERM-01,permeability,233033901,conditional_space_filling,0,portfolio_d2b632acfb9bb418,0.005578652404945591,0.0010508575707781074,0,False,equivalent_candidates_predict_similarly,5,0.36706915649515076
XFER-PERM-01,permeability,233033901,evidence_guided_predictive_disagreement,0,portfolio_d2b632acfb9bb418,0.005578652404945591,0.0010508575707781074,0,False,equivalent_candidates_predict_similarly,5,0.36706915649515076
XFER-CYCLIC-01,cyclic_damage,233033901,no_acquisition,0,portfolio_64f76ba5c092a2e9,0.0016307745242896002,0.0004685630921195505,0,False,equivalent_candidates_predict_similarly,4,0.04443620659672553
XFER-CYCLIC-01,cyclic_damage,233033901,conditional_space_filling,0,portfolio_64f76ba5c092a2e9,0.0016307745242896002,0.0004685630921195505,0,False,equivalent_candidates_predict_similarly,4,0.04443620659672553
XFER-CYCLIC-01,cyclic_damage,233033901,evidence_guided_predictive_disagreement,0,portfolio_64f76ba5c092a2e9,0.0016307745242896002,0.0004685630921195505,0,False,equivalent_candidates_predict_similarly,4,0.04443620659672553
XFER-THERMAL-01,thermal_damage,233033901,no_acquisition,0,portfolio_2809d0a86327678a,0.006203798765501989,0.0016415670793050573,0,False,equivalent_candidates_predict_similarly,2,0.0020929380869431353
XFER-THERMAL-01,thermal_damage,233033901,conditional_space_filling,0,portfolio_2809d0a86327678a,0.006203798765501989,0.0016415670793050573,0,False,equivalent_candidates_predict_similarly,2,0.0020929380869431353
XFER-THERMAL-01,thermal_damage,233033901,evidence_guided_predictive_disagreement,0,portfolio_2809d0a86327678a,0.006203798765501989,0.0016415670793050573,0,False,equivalent_candidates_predict_similarly,2,0.0020929380869431353
XFER-CREEP-01,creep,240857411,no_acquisition,0,portfolio_a4ead89773e2e88b,0.0028752981197108897,0.0027422205661511404,0,False,equivalent_candidates_predict_similarly,3,0.24795695503332035
XFER-CREEP-01,creep,240857411,conditional_space_filling,0,portfolio_a4ead89773e2e88b,0.0028752981197108897,0.0027422205661511404,0,False,equivalent_candidates_predict_similarly,3,0.24795695503332035
XFER-CREEP-01,creep,240857411,evidence_guided_predictive_disagreement,0,portfolio_a4ead89773e2e88b,0.0028752981197108897,0.0027422205661511404,0,False,equivalent_candidates_predict_similarly,3,0.24795695503332035
XFER-PERM-01,permeability,240857411,no_acquisition,0,portfolio_8094584d8a915ff7,0.005393652815704179,0.001412283379711007,0,False,equivalent_candidates_predict_similarly,4,0.3568060495569271
XFER-PERM-01,permeability,240857411,conditional_space_filling,0,portfolio_8094584d8a915ff7,0.005393652815704179,0.001412283379711007,0,False,equivalent_candidates_predict_similarly,4,0.3568060495569271
XFER-PERM-01,permeability,240857411,evidence_guided_predictive_disagreement,0,portfolio_8094584d8a915ff7,0.005393652815704179,0.001412283379711007,0,False,equivalent_candidates_predict_similarly,4,0.3568060495569271
XFER-CYCLIC-01,cyclic_damage,240857411,no_acquisition,0,portfolio_3a775344072f3340,0.0014397395778557645,0.0005155373401379851,0,False,equivalent_candidates_predict_similarly,4,0.2692342917994424
XFER-CYCLIC-01,cyclic_damage,240857411,conditional_space_filling,0,portfolio_3a775344072f3340,0.0014397395778557645,0.0005155373401379851,0,False,equivalent_candidates_predict_similarly,4,0.2692342917994424
XFER-CYCLIC-01,cyclic_damage,240857411,evidence_guided_predictive_disagreement,0,portfolio_3a775344072f3340,0.0014397395778557645,0.0005155373401379851,0,False,equivalent_candidates_predict_similarly,4,0.2692342917994424
XFER-THERMAL-01,thermal_damage,240857411,no_acquisition,0,portfolio_de83a8bbfb9ea154,0.006963164598736603,0.004318595042262971,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-THERMAL-01,thermal_damage,240857411,conditional_space_filling,0,portfolio_de83a8bbfb9ea154,0.006963164598736603,0.004318595042262971,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-THERMAL-01,thermal_damage,240857411,evidence_guided_predictive_disagreement,0,portfolio_de83a8bbfb9ea154,0.006963164598736603,0.004318595042262971,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-CREEP-01,creep,3283209030,no_acquisition,0,portfolio_42851308684d1787,0.0029757987623400197,0.0022333857197879164,0,False,equivalent_candidates_predict_similarly,2,0.8095409721327691
XFER-CREEP-01,creep,3283209030,conditional_space_filling,0,portfolio_42851308684d1787,0.0029757987623400197,0.0022333857197879164,0,False,equivalent_candidates_predict_similarly,2,0.8095409721327691
XFER-CREEP-01,creep,3283209030,evidence_guided_predictive_disagreement,0,portfolio_42851308684d1787,0.0029757987623400197,0.0022333857197879164,0,False,equivalent_candidates_predict_similarly,2,0.8095409721327691
XFER-PERM-01,permeability,3283209030,no_acquisition,0,portfolio_ef36a17bb05e52fd,0.006325952459669163,0.0006029347120202541,0,False,equivalent_candidates_predict_similarly,5,0.46269381296557377
XFER-PERM-01,permeability,3283209030,conditional_space_filling,0,portfolio_ef36a17bb05e52fd,0.006325952459669163,0.0006029347120202541,0,False,equivalent_candidates_predict_similarly,5,0.46269381296557377
XFER-PERM-01,permeability,3283209030,evidence_guided_predictive_disagreement,0,portfolio_ef36a17bb05e52fd,0.006325952459669163,0.0006029347120202541,0,False,equivalent_candidates_predict_similarly,5,0.46269381296557377
XFER-CYCLIC-01,cyclic_damage,3283209030,no_acquisition,0,portfolio_3f95ccc0f0ca3523,0.0016671143386722705,0.0006940522317799105,0,False,equivalent_candidates_predict_similarly,2,0.005648564867303522
XFER-CYCLIC-01,cyclic_damage,3283209030,conditional_space_filling,0,portfolio_3f95ccc0f0ca3523,0.0016671143386722705,0.0006940522317799105,0,False,equivalent_candidates_predict_similarly,2,0.005648564867303522
XFER-CYCLIC-01,cyclic_damage,3283209030,evidence_guided_predictive_disagreement,0,portfolio_3f95ccc0f0ca3523,0.0016671143386722705,0.0006940522317799105,0,False,equivalent_candidates_predict_similarly,2,0.005648564867303522
XFER-THERMAL-01,thermal_damage,3283209030,no_acquisition,0,portfolio_cab49e74ec2f5e44,0.006001085207005587,0.0018067838089852579,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-THERMAL-01,thermal_damage,3283209030,conditional_space_filling,0,portfolio_cab49e74ec2f5e44,0.006001085207005587,0.0018067838089852579,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-THERMAL-01,thermal_damage,3283209030,evidence_guided_predictive_disagreement,0,portfolio_cab49e74ec2f5e44,0.006001085207005587,0.0018067838089852579,0,False,insufficient_validation_equivalent_candidates,1,0.0
