zone_id,model,gp_id,x_m,z_m,disp_x_m,disp_z_m,stress_xx_Pa,stress_zz_Pa,stress_xz_Pa,state
1297,softening-ubiquitous,2545,36.26614759,-109.8391475,0.02921347931,-0.09836310103,-3594507.61,-4400775.623,-538193.6236,0
1297,softening-ubiquitous,2649,37.59456464,-114.8643409,0.0400177576,-0.09494660808,-3594507.61,-4400775.623,-538193.6236,0
1298,softening-ubiquitous,2545,36.26614759,-109.8391475,0.02921347931,-0.09836310103,-3820000.878,-4397234.079,-517321.5041,0
1298,softening-ubiquitous,2649,37.59456464,-114.8643409,0.0400177576,-0.09494660808,-3820000.878,-4397234.079,-517321.5041,0
1298,softening-ubiquitous,2547,40.70582977,-108.9347144,0.02805966131,-0.0883745447,-3820000.878,-4397234.079,-517321.5041,0
1298,softening-ubiquitous,2651,42.34036664,-114.4072079,0.04024755705,-0.08416294307,-3820000.878,-4397234.079,-517321.5041,0
1299,softening-ubiquitous,2547,40.70582977,-108.9347144,0.02805966131,-0.0883745447,-4073393.204,-4408774.853,-515046.5817,0
1299,softening-ubiquitous,2651,42.34036664,-114.4072079,0.04024755705,-0.08416294307,-4073393.204,-4408774.853,-515046.5817,0
1299,softening-ubiquitous,2549,46.47076792,-108.0302812,0.02688797078,-0.07488539673,-4073393.204,-4408774.853,-515046.5817,0
1299,softening-ubiquitous,2653,48.50280212,-113.950075,0.04058284047,-0.06962011568,-4073393.204,-4408774.853,-515046.5817,0
1300,softening-ubiquitous,2549,46.47076792,-108.0302812,0.02688797078,-0.07488539673,-4348515.524,-4417730.969,-523894.0702,0
1300,softening-ubiquitous,2653,48.50280212,-113.950075,0.04058284047,-0.06962011568,-4348515.524,-4417730.969,-523894.0702,0
1300,softening-ubiquitous,2551,54.25845138,-107.1258481,0.02569274781,-0.05593468464,-4348515.524,-4417730.969,-523894.0702,0
1300,softening-ubiquitous,2655,56.82745289,-113.4929421,0.04100696017,-0.04920864956,-4348515.524,-4417730.969,-523894.0702,0
1301,softening-ubiquitous,2551,54.25845138,-107.1258481,0.02569274781,-0.05593468464,-4641683.315,-4428472.81,-544820.8949,0
1301,softening-ubiquitous,2655,56.82745289,-113.4929421,0.04100696017,-0.04920864956,-4641683.315,-4428472.81,-544820.8949,0
1301,softening-ubiquitous,2553,65.3599632,-106.221415,0.02448323366,-0.02790679653,-4641683.315,-4428472.81,-544820.8949,0
1301,softening-ubiquitous,2657,68.69442327,-113.0358091,0.04145658094,-0.01907513134,-4641683.315,-4428472.81,-544820.8949,0
1302,softening-ubiquitous,2553,65.3599632,-106.221415,0.02448323366,-0.02790679653,-4926684.013,-4406603.017,-606888.5424,0
1302,softening-ubiquitous,2657,68.69442327,-113.0358091,0.04145658094,-0.01907513134,-4926684.013,-4406603.017,-606888.5424,0
1302,softening-ubiquitous,2555,82.46210938,-105.3169819,0.023331639,0.01631813576,-4926684.013,-4406603.017,-606888.5424,0
1302,softening-ubiquitous,2659,86.97577679,-112.5786762,0.04174291745,0.02815898003,-4926684.013,-4406603.017,-606888.5424,0
1303,softening-ubiquitous,2555,82.46210938,-105.3169819,0.023331639,0.01631813576,-5244076.926,-4222025.108,-708336.5634,0
